序号,学校,类别,地址,邮编,电话
117,上海市浦东新区芦潮港幼儿园,公办幼儿园,芦潮港镇芦云路2号,201308,58283080
118,上海市浦东新区三墩幼儿园,公办幼儿园,"大团三宣公路312号
大团永爱路281号  ",201312,38018098
119,上海市浦东新区万祥幼儿园,公办幼儿园,万祥镇祥安路146号,201313,38200161
120,上海市临港新城海音幼儿园,公办幼儿园,临港新城古棕路438弄41—42号,201306,38014078
121,上海市今日学校附幼,公办幼儿园,书院镇三三公路4958号,201303,58291219*8007
122,上海市浦东新区金粤幼儿园,公办幼儿园,金葵路1076号,201206,50760058
123,上海市浦东新区常青幼儿园,公办幼儿园,"张杨路370弄44号
浦城路580弄10号",200122,58775603
124,上海市浦东新区高科幼儿园,公办幼儿园,益江路116号,201203,33922203
125,上海市浦东新区孙桥幼儿园,公办幼儿园,殷北路458,201203,38921550
126,上海市浦东新区川沙幼儿园,公办幼儿园,"南桥路477号
华夏一路328号",201200,58981383
127,上海市浦东新区六团幼儿园,公办幼儿园,普园路1号,201202,38931461
128,上海市浦东新区开心幼儿园,公办幼儿园,江绣路432号,201202,50530069
129,上海市浦东新区锦绣博文幼儿园,公办幼儿园,锦绣路2760号,201204,50121790
130,上海市浦东新区新场幼儿园,公办幼儿园,新场镇牌楼东路53号,201314,68171325
131,上海市浦东新区石笋幼儿园,公办幼儿园,新场镇新艺路108号,201314,58170348
132,上海市浦东新区坦直幼儿园,公办幼儿园,坦直秀丰路15号,201314,68154035
133,上海市浦东新区六灶幼儿园,公办幼儿园,"鹿溪路246号
周祝公路2231号",201322,"68160526
58160202"
134,上海市浦东新区盐仓幼儿园,公办幼儿园,祝桥镇盐仓育兴路4号,201324,58090250
135,上海市浦东新区东海幼儿园,公办幼儿园,"祝桥镇东海图海路32号
盐仓育兴路4号",201325,68266685
136,上海市浦东新区红蜻蜓幼儿园,公办幼儿园,"德州路255弄58号
上南路1500弄32支弄1号","200126
200127","58836118
58837841"
137,上海市浦东新区上钢九村幼儿园,公办幼儿园,"（总部）西营路33弄10号
（分部）耀华路414弄16号",200126,"50560688
50878228"
138,上海市浦东新区上南三村幼儿园,公办幼儿园,"（总部）上南路1251弄24号
（分部）上南路929弄3号",200126,"58838279
50877759"
139,上海市浦东新区上南五村幼儿园,公办幼儿园,上南五村8号,200126,58728706
140,上海市浦东新区南码头幼儿园,公办幼儿园,"（总部）南码头路193弄10号
（分部）东三街102弄27号",200125,"58702988
58393052"
141,上海市浦东新区小叮当幼儿园,公办幼儿园,"（北园）环林西路608弄89号
（南园）环林西路618弄1号",200123,"50832347
50651200"
142,上海市浦东新区三林幼儿园,公办幼儿园,"（中心部）三新路1号
（联丰部）联明路371",200124,"58410379
58492463"
143,上海市浦东新区杨思幼儿园,公办幼儿园,"（南园区）西营南路75号
（北园区）杨新路82号",200126,"68326011
58425258"
144,上海市浦东新区恒宇幼儿园,公办幼儿园,"（杨南校区）杨南路1039号
（杨东校区）洪山路748号",200123,"68529897
50496682"
145,上海市浦东新区天池幼儿园,公办幼儿园,"（天池校区）北艾路227弄25号
（锦华校区）锦绣路2866弄15号","201204
200125","50425891
68935330"
146,上海市浦东新区贝贝星幼儿园,公办幼儿园,御山路391号,201204,68931975
147,上海市浦东新区航头幼儿园,公办幼儿园,"（长达部）航梅路525弄5支弄5号
（航兴部）航头镇航兴路58号",201316,"68221871
68220219"
148,上海市浦东新区下沙幼儿园,公办幼儿园,下沙新街51弄2号,201317,58141692
149,上海市浦东新区周东幼儿园,公办幼儿园,康桥镇康弘路528弄6号,201315,68135283
150,上海市浦东新区康桥第一幼儿园,公办幼儿园,"(梓康部） 康桥镇梓康路17号
（绿洲部）康桥镇御水路855号","201318
201315","58111402
38122736"
151,上海市浦东新区康桥第二幼儿园,公办幼儿园,"（拯安部）拯安路5号
（康弘部）康弘路528弄6号","201319
201318","58131414
38252884"
152,上海市浦东新区瓦屑幼儿园,公办幼儿园,"(瓦屑校区）瓦屑建设路14号
（瑞和校区）瑞和路176号","201321
201318","58150111
33892822"
153,上海市浦东新区周浦欧风幼儿园,公办幼儿园,周浦镇瑞意路339号,201318,33891590
154,上海市浦东新区爱心幼儿园,公办幼儿园,浦东大道2388弄14号,200116,68509585
155,上海市浦东新区繁锦幼儿园,公办幼儿园,芳菲路318号,201208,
156,上海市浦东新区海星幼儿园,公办幼儿园,金钻路899号,201209,68685882
157,上海市浦东新区天虹幼儿园,公办幼儿园,东靖路345号,201208,33822660＊804
158,上海市浦东新区南六幼儿园,公办幼儿园,南六公路399弄170号,201300,
159,上海市浦东新区羽灵幼儿园,公办幼儿园,羽山路392号,200135,
160,上海市浦东新区祝桥东港幼儿园,公办幼儿园,"祝桥镇祝城路78号
千汇路251弄2号",201323,58107967
161,上海市浦东新区新城幼儿园,公办幼儿园,众安路800号,201314,68093388
162,上海市浦东新区锦绣幼儿园,公办幼儿园,锦绣路2460号,201204,50270751
163,上海市浦东新区东方江韵幼儿园,公办幼儿园,张江中科路2685号,201210,50252968
164,上海市浦东新区百熙幼儿园,公办幼儿园,祝桥百熙路55弄15号,201323,68102022
